id_vente,id_temps,id_region,id_client,id_produit,id_canal,chiffre_affaire,quantite_vendue,panier_moyen,nombre_ventes,prix_achat_total,marge_brute,taux_marge,order_status,payment_method,remise_montant,taux_remise,cout_livraison,order_id
1,1588,3769,83582,14235,2,0.0199999995529651,1,0.0199999995529651,1,0.0082999997779726,0.011699999774992502,58.500000182539594,Complete,Debit Card,0.0,0.0,9.922104202831697,ORD1000
2,1534,4365,22551,14235,1,0.0199999995529651,1,0.0199999995529651,1,0.0082999997779726,0.011699999774992502,58.500000182539594,Returned,Bank Transfer,0.001243014890568528,6.215074591760401,2.5057450809202675,ORD1000
3,1798,7969,28215,14235,5,0.0199999995529651,1,0.0199999995529651,1,0.0082999997779726,0.011699999774992502,58.500000182539594,Processing,Bank Transfer,0.0,0.0,9.959384431397549,ORD1001
4,1818,4023,20165,14235,4,0.0199999995529651,1,0.0199999995529651,1,0.0082999997779726,0.011699999774992502,58.500000182539594,Complete,PayPal,0.0,0.0,3.1656918879335114,ORD1001
5,1264,2563,71954,14235,4,0.0199999995529651,1,0.0199999995529651,1,0.0082999997779726,0.011699999774992502,58.500000182539594,Complete,Credit Card,0.0,0.0,11.234475100743715,ORD1002
6,1719,4719,84693,14235,3,0.0199999995529651,1,0.0199999995529651,1,0.0082999997779726,0.011699999774992502,58.500000182539594,Complete,Bank Transfer,0.0,0.0,7.071009405552098,ORD1002
7,1035,6500,37023,14159,2,0.4900000095367431,1,0.4900000095367431,1,0.1773800033208727,0.3126200062158704,63.800000026822104,Complete,PayPal,0.0,0.0,12.890054390390743,ORD1003
8,1184,2075,63821,14159,9,0.4900000095367431,1,0.4900000095367431,1,0.1773800033208727,0.3126200062158704,63.800000026822104,Shipped,Debit Card,0.0,0.0,14.252880188446698,ORD1003
9,1763,7469,15553,14159,2,0.4900000095367431,1,0.4900000095367431,1,0.1773800033208727,0.3126200062158704,63.800000026822104,Complete,Debit Card,0.0,0.0,7.422434439052917,ORD1004
10,1834,652,38312,14159,10,0.4900000095367431,1,0.4900000095367431,1,0.1773800033208727,0.3126200062158704,63.800000026822104,Processing,Debit Card,0.0,0.0,7.9872188411587,ORD1004
11,1549,4943,72876,14202,7,1.5,1,1.5,1,0.617999997921288,0.882000002078712,58.8000001385808,Complete,Debit Card,0.0,0.0,9.671918553167053,ORD1005
12,545,1180,91839,28700,1,1.5,1,1.5,1,0.6059999980498105,0.8940000019501895,59.60000013001263,Returned,PayPal,0.0,0.0,4.562725384154657,ORD1005
13,1519,7453,30232,28700,1,1.5,1,1.5,1,0.6059999980498105,0.8940000019501895,59.60000013001263,Shipped,Credit Card,0.27627923788623276,18.418615859082184,14.055326930768697,ORD1006
14,1372,7543,53552,14202,2,1.5,1,1.5,1,0.617999997921288,0.882000002078712,58.8000001385808,Complete,PayPal,0.0,0.0,7.628999044517844,ORD1006
15,1400,7851,64053,28700,4,1.5,1,1.5,1,0.6059999980498105,0.8940000019501895,59.60000013001263,Complete,Credit Card,0.09123464034109482,6.082309356072988,4.168664366908095,ORD1007
